# Continuous evolution trace log
global_time,t,x,a
0.000000,0.000000,0.000000,5.000000
0.101110,0.101110,0.505550,5.000000
0.202220,0.202220,1.011100,5.000000
0.303330,0.303330,1.516650,5.000000
0.404440,0.404440,2.022200,5.000000
0.505550,0.505550,2.527750,5.000000
0.606660,0.606660,3.033300,5.000000
0.707770,0.707770,3.538850,5.000000
0.808880,0.808880,4.044400,5.000000
0.909990,0.909990,4.549950,5.000000
1.011100,1.011100,5.055500,5.000000
global_time,t,x,a
1.011100,0.000000,5.055500,5.000000
1.112210,0.101110,5.561050,5.000000
1.213320,0.202220,6.066600,5.000000
1.314430,0.303330,6.572150,5.000000
1.415540,0.404440,7.077700,5.000000
1.516650,0.505550,7.583250,5.000000
1.617760,0.606660,8.088800,5.000000
1.718870,0.707770,8.594350,5.000000
1.819980,0.808880,9.099900,5.000000
1.921090,0.909990,9.605450,5.000000
2.022200,1.011100,10.111000,5.000000
global_time,t,x,a
2.022200,0.000000,10.111000,5.000000
2.123310,0.101110,10.616550,5.000000
2.224420,0.202220,11.122100,5.000000
2.325530,0.303330,11.627650,5.000000
2.426640,0.404440,12.133200,5.000000
2.527750,0.505550,12.638750,5.000000
2.628860,0.606660,13.144300,5.000000
2.729970,0.707770,13.649850,5.000000
2.831080,0.808880,14.155400,5.000000
2.932190,0.909990,14.660950,5.000000
3.033300,1.011100,15.166500,5.000000
global_time,t,x,a
3.033300,0.000000,15.166500,5.000000
3.134410,0.101110,15.672050,5.000000
3.235520,0.202220,16.177600,5.000000
3.336630,0.303330,16.683150,5.000000
3.437740,0.404440,17.188700,5.000000
3.538850,0.505550,17.694250,5.000000
3.639960,0.606660,18.199800,5.000000
3.741070,0.707770,18.705350,5.000000
3.842180,0.808880,19.210900,5.000000
3.943290,0.909990,19.716450,5.000000
4.044400,1.011100,20.222000,5.000000
global_time,t,x,a
4.044400,0.000000,20.222000,5.000000
4.145510,0.101110,20.727550,5.000000
4.246620,0.202220,21.233100,5.000000
4.347730,0.303330,21.738650,5.000000
4.448840,0.404440,22.244200,5.000000
4.549950,0.505550,22.749750,5.000000
4.651060,0.606660,23.255300,5.000000
4.752170,0.707770,23.760850,5.000000
4.853280,0.808880,24.266400,5.000000
4.954390,0.909990,24.771950,5.000000
5.055500,1.011100,25.277500,5.000000
global_time,t,x,a
5.055500,0.000000,25.277500,5.000000
5.156610,0.101110,25.783050,5.000000
5.257720,0.202220,26.288600,5.000000
5.358830,0.303330,26.794150,5.000000
5.459940,0.404440,27.299700,5.000000
5.561050,0.505550,27.805250,5.000000
5.662160,0.606660,28.310800,5.000000
5.763270,0.707770,28.816350,5.000000
5.864380,0.808880,29.321900,5.000000
5.965490,0.909990,29.827450,5.000000
6.066600,1.011100,30.333000,5.000000
global_time,t,x,a
6.066600,0.000000,30.333000,5.000000
6.167710,0.101110,30.838550,5.000000
6.268820,0.202220,31.344100,5.000000
6.369930,0.303330,31.849650,5.000000
6.471040,0.404440,32.355200,5.000000
6.572150,0.505550,32.860750,5.000000
6.673260,0.606660,33.366300,5.000000
6.774370,0.707770,33.871850,5.000000
6.875480,0.808880,34.377400,5.000000
6.976590,0.909990,34.882950,5.000000
7.077700,1.011100,35.388500,5.000000
global_time,t,x,a
7.077700,0.000000,35.388500,5.000000
7.178810,0.101110,35.894050,5.000000
7.279920,0.202220,36.399600,5.000000
7.381030,0.303330,36.905150,5.000000
7.482140,0.404440,37.410700,5.000000
7.583250,0.505550,37.916250,5.000000
7.684360,0.606660,38.421800,5.000000
7.785470,0.707770,38.927350,5.000000
7.886580,0.808880,39.432900,5.000000
7.987690,0.909990,39.938450,5.000000
8.088800,1.011100,40.444000,5.000000
global_time,t,x,a
8.088800,0.000000,40.444000,5.000000
8.189910,0.101110,40.949550,5.000000
8.291020,0.202220,41.455100,5.000000
8.392130,0.303330,41.960650,5.000000
8.493240,0.404440,42.466200,5.000000
8.594350,0.505550,42.971750,5.000000
8.695460,0.606660,43.477300,5.000000
8.796570,0.707770,43.982850,5.000000
8.897680,0.808880,44.488400,5.000000
8.998790,0.909990,44.993950,5.000000
9.099900,1.011100,45.499500,5.000000
global_time,t,x,a
9.099900,0.000000,45.499500,5.000000
9.201010,0.101110,46.005050,5.000000
9.302120,0.202220,46.510600,5.000000
9.403230,0.303330,47.016150,5.000000
9.504340,0.404440,47.521700,5.000000
9.605450,0.505550,48.027250,5.000000
9.706560,0.606660,48.532800,5.000000
9.807670,0.707770,49.038350,5.000000
9.908780,0.808880,49.543900,5.000000
10.009890,0.909990,50.049450,5.000000
10.111000,1.011100,50.555000,5.000000
global_time,t,x,a
10.111000,0.000000,50.555000,5.000000
10.212110,0.101110,51.060550,5.000000
10.313220,0.202220,51.566100,5.000000
10.414330,0.303330,52.071650,5.000000
10.515440,0.404440,52.577200,5.000000
10.616550,0.505550,53.082750,5.000000
10.717660,0.606660,53.588300,5.000000
10.818770,0.707770,54.093850,5.000000
10.919880,0.808880,54.599400,5.000000
11.020990,0.909990,55.104950,5.000000
11.122100,1.011100,55.610500,5.000000
global_time,t,x,a
11.122100,0.000000,55.610500,5.000000
11.223210,0.101110,56.116050,5.000000
11.324320,0.202220,56.621600,5.000000
11.425430,0.303330,57.127150,5.000000
11.526540,0.404440,57.632700,5.000000
11.627650,0.505550,58.138250,5.000000
11.728760,0.606660,58.643800,5.000000
11.829870,0.707770,59.149350,5.000000
11.930980,0.808880,59.654900,5.000000
12.032090,0.909990,60.160450,5.000000
12.133200,1.011100,60.666000,5.000000
global_time,t,x,a
12.133200,0.000000,60.666000,5.000000
12.234310,0.101110,61.171550,5.000000
12.335420,0.202220,61.677100,5.000000
12.436530,0.303330,62.182650,5.000000
12.537640,0.404440,62.688200,5.000000
12.638750,0.505550,63.193750,5.000000
12.739860,0.606660,63.699300,5.000000
12.840970,0.707770,64.204850,5.000000
12.942080,0.808880,64.710400,5.000000
13.043190,0.909990,65.215950,5.000000
13.144300,1.011100,65.721500,5.000000
global_time,t,x,a
13.144300,0.000000,65.721500,5.000000
13.245410,0.101110,66.227050,5.000000
13.346520,0.202220,66.732600,5.000000
13.447630,0.303330,67.238150,5.000000
13.548740,0.404440,67.743700,5.000000
13.649850,0.505550,68.249250,5.000000
13.750960,0.606660,68.754800,5.000000
13.852070,0.707770,69.260350,5.000000
13.953180,0.808880,69.765900,5.000000
14.054290,0.909990,70.271450,5.000000
14.155400,1.011100,70.777000,5.000000
global_time,t,x,a
14.155400,0.000000,70.777000,5.000000
14.256510,0.101110,71.282550,5.000000
14.357620,0.202220,71.788100,5.000000
14.458730,0.303330,72.293650,5.000000
14.559840,0.404440,72.799200,5.000000
14.660950,0.505550,73.304750,5.000000
14.762060,0.606660,73.810300,5.000000
14.863170,0.707770,74.315850,5.000000
14.964280,0.808880,74.821400,5.000000
15.065390,0.909990,75.326950,5.000000
15.166500,1.011100,75.832500,5.000000
global_time,t,x,a
15.166500,0.000000,75.832500,5.000000
15.267610,0.101110,76.338050,5.000000
15.368720,0.202220,76.843600,5.000000
15.469830,0.303330,77.349150,5.000000
15.570940,0.404440,77.854700,5.000000
15.672050,0.505550,78.360250,5.000000
15.773160,0.606660,78.865800,5.000000
15.874270,0.707770,79.371350,5.000000
15.975380,0.808880,79.876900,5.000000
16.076490,0.909990,80.382450,5.000000
16.177600,1.011100,80.888000,5.000000
global_time,t,x,a
16.177600,0.000000,80.888000,5.000000
16.278710,0.101110,81.393550,5.000000
16.379820,0.202220,81.899100,5.000000
16.480930,0.303330,82.404650,5.000000
16.582040,0.404440,82.910200,5.000000
16.683150,0.505550,83.415750,5.000000
16.784260,0.606660,83.921300,5.000000
16.885370,0.707770,84.426850,5.000000
16.986480,0.808880,84.932400,5.000000
17.087590,0.909990,85.437950,5.000000
17.188700,1.011100,85.943500,5.000000
global_time,t,x,a
17.188700,0.000000,85.943500,5.000000
17.289810,0.101110,86.449050,5.000000
17.390920,0.202220,86.954600,5.000000
17.492030,0.303330,87.460150,5.000000
17.593140,0.404440,87.965700,5.000000
17.694250,0.505550,88.471250,5.000000
17.795360,0.606660,88.976800,5.000000
17.896470,0.707770,89.482350,5.000000
17.997580,0.808880,89.987900,5.000000
18.098690,0.909990,90.493450,5.000000
18.199800,1.011100,90.999000,5.000000
global_time,t,x,a
18.199800,0.000000,90.999000,5.000000
18.300910,0.101110,91.504550,5.000000
18.402020,0.202220,92.010100,5.000000
18.503130,0.303330,92.515650,5.000000
18.604240,0.404440,93.021200,5.000000
18.705350,0.505550,93.526750,5.000000
18.806460,0.606660,94.032300,5.000000
18.907570,0.707770,94.537850,5.000000
19.008680,0.808880,95.043400,5.000000
19.109790,0.909990,95.548950,5.000000
19.210900,1.011100,96.054500,5.000000
global_time,t,x,a
19.210900,0.000000,96.054500,5.000000
19.312010,0.101110,96.560050,5.000000
19.413120,0.202220,97.065600,5.000000
19.514230,0.303330,97.571150,5.000000
19.615340,0.404440,98.076700,5.000000
19.716450,0.505550,98.582250,5.000000
19.817560,0.606660,99.087800,5.000000
19.918670,0.707770,99.593350,5.000000
20.019780,0.808880,100.098900,5.000000
20.120890,0.909990,100.604450,5.000000
20.222000,1.011100,101.110000,5.000000
global_time,t,x,a
