# Continuous evolution trace log
global_time,t,p,v,a
0.000000,0.000000,0.000000,0.000000,1.000000
0.101110,0.101110,0.005112,0.101110,1.000000
0.202220,0.202220,0.020446,0.202220,1.000000
0.303330,0.303330,0.046005,0.303330,1.000000
0.404440,0.404440,0.081786,0.404440,1.000000
0.505550,0.505550,0.127790,0.505550,1.000000
0.606660,0.606660,0.184018,0.606660,1.000000
0.707770,0.707770,0.250469,0.707770,1.000000
0.808880,0.808880,0.327143,0.808880,1.000000
0.909990,0.909990,0.414041,0.909990,1.000000
1.011100,1.011100,0.511162,1.011100,1.000000
global_time,t,p,v,a
1.011100,0.000000,0.511162,1.011100,1.000000
1.112210,0.101110,0.618506,1.112210,1.000000
1.213320,0.202220,0.736073,1.213320,1.000000
1.314430,0.303330,0.863863,1.314430,1.000000
1.415540,0.404440,1.001877,1.415540,1.000000
1.516650,0.505550,1.150114,1.516650,1.000000
1.617760,0.606660,1.308574,1.617760,1.000000
1.718870,0.707770,1.477257,1.718870,1.000000
1.819980,0.808880,1.656164,1.819980,1.000000
1.921090,0.909990,1.845293,1.921090,1.000000
2.022200,1.011100,2.044646,2.022200,1.000000
global_time,t,p,v,a
2.022200,0.000000,2.044646,2.022200,1.000000
2.123310,0.101110,2.254223,2.123310,1.000000
2.224420,0.202220,2.474022,2.224420,1.000000
2.325530,0.303330,2.704045,2.325530,1.000000
2.426640,0.404440,2.944291,2.426640,1.000000
2.527750,0.505550,3.194760,2.527750,1.000000
2.628860,0.606660,3.455452,2.628860,1.000000
2.729970,0.707770,3.726368,2.729970,1.000000
2.831080,0.808880,4.007507,2.831080,1.000000
2.932190,0.909990,4.298869,2.932190,1.000000
3.033300,1.011100,4.600454,3.033300,1.000000
global_time,t,p,v,a
3.033300,0.000000,4.600454,3.033300,1.000000
3.134410,0.101110,4.912263,3.134410,1.000000
3.235520,0.202220,5.234295,3.235520,1.000000
3.336630,0.303330,5.566550,3.336630,1.000000
3.437740,0.404440,5.909028,3.437740,1.000000
3.538850,0.505550,6.261730,3.538850,1.000000
3.639960,0.606660,6.624654,3.639960,1.000000
3.741070,0.707770,6.997802,3.741070,1.000000
3.842180,0.808880,7.381174,3.842180,1.000000
3.943290,0.909990,7.774768,3.943290,1.000000
4.044400,1.011100,8.178586,4.044400,1.000000
global_time,t,p,v,a
4.044400,0.000000,8.178586,4.044400,1.000000
4.145510,0.101110,8.592627,4.145510,1.000000
4.246620,0.202220,9.016891,4.246620,1.000000
4.347730,0.303330,9.451378,4.347730,1.000000
4.448840,0.404440,9.896089,4.448840,1.000000
4.549950,0.505550,10.351023,4.549950,1.000000
4.651060,0.606660,10.816180,4.651060,1.000000
4.752170,0.707770,11.291560,4.752170,1.000000
4.853280,0.808880,11.777163,4.853280,1.000000
4.954390,0.909990,12.272990,4.954390,1.000000
